state,total_population,total_ltc_population_2020_ahca_ncal,state_population_excluding_ltc_residents
Alabama,4908620,31669,4876951
Alaska,734002,2858,731144
Arizona (Maricopa only),4427094,25709,4401385
Arkansas,3039000,24995,3014005
California,39937500,258294,39679206
Colorado,5845530,35670,5809860
Connecticut,3563080,24480,3538600
Delaware,982895,6173,976722
DC,720687,2934,717753
Florida,21993000,157983,21835017
Georgia,10736100,60741,10675359
Hawaii,1412690,8125,1404565
Idaho,1826160,12473,1813687
Illinois,12659700,89387,12570313
Indiana,6745350,43135,6702215
Iowa,3179850,50394,3129456
Kansas,2910360,26105,2884255
Kentucky,4499690,31179,4468511
Louisiana,4645180,32059,4613121
Maine,1345790,13579,1332211
Maryland,6083120,36751,6046369
Massachusetts,6976600,53450,6923150
Michigan,10045000,68002,9976998
Minnesota,5700670,82776,5617894
Mississippi,2989260,22034,2967226
Missouri (Stl Co only),987083,9574,977509
Montana,1086760,9148,1077612
Nebraska,1952570,21744,1930826
Nevada,3139660,13018,3126642
New Hampshire,1371250,11382,1359868
New Jersey,8936570,62095,8874475
New Mexico,2096640,10605,2086035
New York,19440500,145720,19294780
North Carolina,10611900,68821,10543079
North Dakota,761723,9570,752153
Ohio,11747700,121138,11626562
Oklahoma,3954820,28104,3926716
Oregon,4301090,35563,4265527
Pennsylvania,12820900,133551,12687349
Rhode Island,1056160,11623,1044537
South Carolina,5210100,33540,5176560
South Dakota,903027,9998,893029
Tennessee,6897580,45472,6852108
Texas,29472300,153635,29318665
Utah,3282120,14001,3268119
Vermont,628061,5377,622684
Virginia,8626210,58311,8567899
Washington,7797100,57162,7739938
West Virginia,1778070,12272,1765798
Wisconsin,5851750,68031,5783719
Wyoming,567025,3733,563292
"Reporting states total, NY doubled to compensate for exclusion of hospital deaths",323185597,2354144,320831453
NA,303745097,2208424,301536673
"NYT data is from an article that The NY Times put out August 13th, after their original ones on July 26th, June 27th, and May 11th",NA,NA,NA
